01101	ARICA	001
01106	CAMARONES	295
01201	IQUIQUE	002
01203	PICA	004
01204	POZO ALMONTE	005
01206	HUARA	003
01208	CAMINA	296
01210	COLCHANE	297
01211	ALTO HOSPICIO	347
01301	PUTRE	294
01302	GENERAL LAGOS	293
02101	TOCOPILLA	006
02103	MARIA ELENA	298
02201	ANTOFAGASTA	007
02202	TALTAL	009
02203	MEJILLONES	008
02206	SIERRA GORDA	299
02301	CALAMA	010
02302	OLLAGUE	300
02303	SAN PEDRO DE ATACAMA	301
03101	CHANARAL	011
03102	DIEGO DE ALMAGRO	012
03201	COPIAPO	013
03202	CALDERA	014
03203	TIERRA AMARILLA	015
03301	VALLENAR	016
03302	FREIRINA	017
03303	HUASCO	018
03304	ALTO DEL CARMEN	302
04101	LA SERENA	019
04102	LA HIGUERA	020
04103	COQUIMBO	021
04104	ANDACOLLO	022
04105	VICUNA	023
04106	PAIHUANO	024
04201	OVALLE	025
04203	MONTE PATRIA	026
04204	PUNITAQUI	027
04205	COMBARBALA	029
04206	RIO HURTADO	028
04301	ILLAPEL	030
04302	SALAMANCA	032
04303	LOS VILOS	033
04304	CANELA	031
05101	ISLA DE PASCUA	041
05201	LA LIGUA	059
05202	PETORCA	055
05203	CABILDO	056
05204	ZAPALLAR	058
05205	PAPUDO	057
05301	VALPARAISO	034
05302	VINA DEL MAR	037
05303	VILLA ALEMANA	039
05304	QUILPUE	038
05305	CASABLANCA	040
05306	QUINTERO	035
05307	PUCHUNCAVI	036
05308	JUAN FERNANDEZ	321
05309	CONCON	340
05401	SAN ANTONIO	042
05402	SANTO DOMINGO	043
05403	CARTAGENA	046
05404	EL TABO	047
05405	EL QUISCO	045
05406	ALGARROBO	044
05501	QUILLOTA	048
05502	NOGALES	052
05503	HIJUELAS	051
05504	LA CALERA	050
05505	LA CRUZ	049
05506	LIMACHE	053
05507	OLMUE	054
05601	SAN FELIPE	060
05602	PANQUEHUE	062
05603	CATEMU	063
05604	PUTAENDO	061
05605	SANTA MARIA	064
05606	LLAY-LLAY	065
05701	LOS ANDES	066
05702	CALLE LARGA	067
05703	SAN ESTEBAN	069
05704	RINCONADA	068
06101	RANCAGUA	105
06102	MACHALI	106
06103	GRANEROS	107
06104	SAN FRANCISCO DE MOSTAZAL	111
06105	DONIHUE	112
06106	COLTAUCO	113
06107	CODEGUA	110
06108	PEUMO	115
06109	LAS CABRAS	116
06110	SAN VICENTE	117
06111	PICHIDEGUA	118
06112	RENGO	121
06113	REQUINOA	119
06114	OLIVAR	120
06115	MALLOA	122
06116	COINCO	114
06117	QUINTA DE TILCOCO	123
06201	SAN FERNANDO	124
06202	CHIMBARONGO	125
06203	NANCAGUA	126
06204	PLACILLA	127
06205	SANTA CRUZ	128
06206	LOLOL	129
06207	PALMILLA	130
06208	PERALILLO	131
06209	CHEPICA	132
06214	PUMANQUE	135
06301	PICHILEMU	137
06302	NAVIDAD	138
06303	LITUECHE	136
06304	LA ESTRELLA	139
06305	MARCHIGUE	134
06306	PAREDONES	133
07101	CURICO	140
07102	TENO	142
07103	ROMERAL	141
07104	RAUCO	143
07105	LICANTEN	145
07106	VICHUQUEN	146
07107	HUALANE	144
07108	MOLINA	147
07109	SAGRADA FAMILIA	148
07201	TALCA	150
07202	SAN CLEMENTE	151
07203	PELARCO	152
07204	RIO CLARO	149
07205	PENCAHUE	153
07206	MAULE	154
07207	CUREPTO	155
07208	CONSTITUCION	157
07209	EMPEDRADO	158
07210	SAN RAFAEL	341
07301	LINARES	159
07302	YERBAS BUENAS	160
07303	COLBUN	161
07304	LONGAVI	162
07305	PARRAL	164
07306	RETIRO	165
07309	VILLA ALEGRE	163
07310	SAN JAVIER	156
07401	CAUQUENES	166
07402	PELLUHUE	320
07403	CHANCO	167
08101	CHILLAN	168
08102	PINTO	169
08103	COIHUECO	170
08104	QUIRIHUE	172
08105	NINHUE	174
08106	PORTEZUELO	171
08107	COBQUECURA	175
08108	TREHUACO	173
08109	SAN CARLOS	176
08110	NIQUEN	177
08111	SAN FABIAN	178
08112	SAN NICOLAS	179
08113	BULNES	180
08114	SAN IGNACIO	181
08115	QUILLON	182
08116	YUNGAY	183
08117	PEMUCO	184
08118	EL CARMEN	185
08119	RANQUIL	187
08120	COELEMU	186
08121	CHILLAN VIEJO	342
08201	CONCEPCION	188
08202	PENCO	191
08203	HUALQUI	192
08204	FLORIDA	193
08205	TOME	190
08206	TALCAHUANO	189
08207	CORONEL	194
08208	LOTA	195
08209	SANTA JUANA	196
08210	SAN PEDRO DE LA PAZ	343
08211	CHIGUAYANTE	344
08212	HUALPEN	346
08301	ARAUCO	198
08302	CURANILAHUE	197
08303	LEBU	199
08304	LOS ALAMOS	200
08305	CANETE	201
08306	CONTULMO	202
08307	TIRUA	203
